Subsector,simulation,Edgar_value,diff,Year
agrc,2.207085354596571,1.13413896,0.9460449137525184,2015
entc,3.229251641025317,3.312946055,-0.025262836335161187,2015
fgtv,0.20920004279343196,2.441121387,-0.9143016631997448,2015
frst,2.053056653650263,-6.547103826,-1.3135824187631058,2015
inen,2.6004682867042743,2.1573401229999996,0.20540486823564022,2015
ippu,18.682279164385264,3.8832173619999995,3.8110310144377815,2015
lndu,0.39699934354131855,0.060839526,5.525352343167805,2015
lsmm,0.535926466758496,1.793108218,-0.7011187270357511,2015
lvst,0.9949669191647061,1.682915592,-0.4087838249913213,2015
scoe,4.438331274413088,3.24769707,0.3666087626864434,2015
soil,8.948503824241763,0.092259474,95.99279040157722,2015
trns,2.141204287997444,5.9581787,-0.6406277159835029,2015
trww,0.7245163644685905,0.503173252,0.4398944331575688,2015
waso,1.2479324407113086,1.2586895035999999,-0.00854624024266891,2015
