"","Subsector","simulation","Edgar_value","diff","Year"
"1","agrc",1.7785607699568,1.13413896,0.568203573534587,2015
"2","entc",6.88682656161162,3.312946055,1.07876205868725,2015
"3","fgtv",0.813593563358791,2.441121387,-0.666713188581478,2015
"4","frst",-1.12052259461516,-6.547103826,-0.828852172747694,2015
"5","inen",4.06975273054933,2.157340123,0.886467825430293,2015
"6","ippu",11.1675876203403,3.883217362,1.87585952041288,2015
"7","lndu",0.685409305920145,0.060839526,10.2658554558782,2015
"8","lsmm",0.206254787772838,1.793108218,-0.884973597409034,2015
"9","lvst",1.938987803925,1.682915592,0.152159866568638,2015
"10","scoe",7.54760439987157,3.24769707,1.32398657793277,2015
"11","soil",1.14210672973435,0.092259474,11.3792894129697,2015
"12","trns",2.83691201759294,5.9581787,-0.523862549206028,2015
"13","trww",0.665286394982367,0.503173252,0.322181559409217,2015
"14","waso",1.30074736735789,1.2586895036,0.033414010077621,2015
